variant,threads,n,max_iter,tau,tol,iterations,residual,time_sec,schedule,chunk,speedup,efficiency
2,36,10000,20000,0.020000,0.000000,234,0.000000,2.179309,static,0,14.470213,0.401950
2,37,10000,20000,0.020000,0.000000,234,0.000000,2.128644,static,0,14.814627,0.400395
2,38,10000,20000,0.020000,0.000000,234,0.000000,2.069111,static,0,15.240878,0.401076
2,39,10000,20000,0.020000,0.000000,234,0.000000,2.058765,static,0,15.317467,0.392756
2,40,10000,20000,0.020000,0.000000,234,0.000000,1.975453,static,0,15.963462,0.399087
2,41,10000,20000,0.020000,0.000000,234,0.000000,1.932133,static,0,16.321375,0.398082
2,42,10000,20000,0.020000,0.000000,234,0.000000,1.888329,static,0,16.699987,0.397619
2,43,10000,20000,0.020000,0.000000,234,0.000000,1.890880,static,0,16.677457,0.387848
2,44,10000,20000,0.020000,0.000000,234,0.000000,1.879144,static,0,16.781613,0.381400
2,45,10000,20000,0.020000,0.000000,234,0.000000,1.882894,static,0,16.748190,0.372182
2,46,10000,20000,0.020000,0.000000,234,0.000000,1.867996,static,0,16.881764,0.366995
2,47,10000,20000,0.020000,0.000000,234,0.000000,1.790683,static,0,17.610636,0.374694
2,48,10000,20000,0.020000,0.000000,234,0.000000,1.755564,static,0,17.962927,0.374228
2,49,10000,20000,0.020000,0.000000,234,0.000000,1.713112,static,0,18.408060,0.375675
2,50,10000,20000,0.020000,0.000000,234,0.000000,1.677902,static,0,18.794344,0.375887
2,51,10000,20000,0.020000,0.000000,234,0.000000,1.657990,static,0,19.020059,0.372942
2,52,10000,20000,0.020000,0.000000,234,0.000000,1.625244,static,0,19.403280,0.373140
2,53,10000,20000,0.020000,0.000000,234,0.000000,1.629158,static,0,19.356666,0.365220
2,54,10000,20000,0.020000,0.000000,234,0.000000,1.598619,static,0,19.726443,0.365305
2,55,10000,20000,0.020000,0.000000,234,0.000000,1.571274,static,0,20.069743,0.364904
2,56,10000,20000,0.020000,0.000000,234,0.000000,1.548331,static,0,20.367135,0.363699
2,57,10000,20000,0.020000,0.000000,234,0.000000,1.521028,static,0,20.732732,0.363732
2,58,10000,20000,0.020000,0.000000,234,0.000000,1.545448,static,0,20.405129,0.351813
2,59,10000,20000,0.020000,0.000000,234,0.000000,1.524292,static,0,20.688337,0.350650
2,60,10000,20000,0.020000,0.000000,234,0.000000,1.461306,static,0,21.580059,0.359668
2,61,10000,20000,0.020000,0.000000,234,0.000000,1.469940,static,0,21.453303,0.351693
2,62,10000,20000,0.020000,0.000000,234,0.000000,1.544441,static,0,20.418434,0.329330
2,63,10000,20000,0.020000,0.000000,234,0.000000,1.487347,static,0,21.202227,0.336543
2,64,10000,20000,0.020000,0.000000,234,0.000000,1.498954,static,0,21.038048,0.328719
2,65,10000,20000,0.020000,0.000000,234,0.000000,1.475519,static,0,21.372187,0.328803
2,66,10000,20000,0.020000,0.000000,234,0.000000,1.522685,static,0,20.710170,0.313790
2,67,10000,20000,0.020000,0.000000,234,0.000000,1.448155,static,0,21.776028,0.325015
2,68,10000,20000,0.020000,0.000000,234,0.000000,1.521136,static,0,20.731260,0.304871
2,69,10000,20000,0.020000,0.000000,234,0.000000,1.746860,static,0,18.052429,0.261629
2,70,10000,20000,0.020000,0.000000,234,0.000000,2.263833,static,0,13.929945,0.198999
2,71,10000,20000,0.020000,0.000000,234,0.000000,3.063413,static,0,10.294095,0.144987
2,72,10000,20000,0.020000,0.000000,234,0.000000,3.460546,static,0,9.112743,0.126566
2,73,10000,20000,0.020000,0.000000,234,0.000000,3.150142,static,0,10.010681,0.137133
2,74,10000,20000,0.020000,0.000000,234,0.000000,3.618846,static,0,8.714123,0.117758
2,75,10000,20000,0.020000,0.000000,234,0.000000,3.197557,static,0,9.862237,0.131496
2,76,10000,20000,0.020000,0.000000,234,0.000000,3.715505,static,0,8.487424,0.111677
2,77,10000,20000,0.020000,0.000000,234,0.000000,3.227690,static,0,9.770165,0.126885
2,78,10000,20000,0.020000,0.000000,234,0.000000,3.311581,static,0,9.522662,0.122085
2,79,10000,20000,0.020000,0.000000,234,0.000000,3.274970,static,0,9.629116,0.121888
2,80,10000,20000,0.020000,0.000000,234,0.000000,3.713834,static,0,8.491243,0.106141
